method,dataset,pattern,ratio,rmse,mae,mape,crps,count
fadti_dft_attn,ett,point,0.1,0.11,0.067,0.405,0.068,5
fadti_dft_attn,ett,point,0.5,0.138,0.084,0.492,0.085,5
fadti_dft_attn,ett,time,0.1,0.166,0.098,0.525,0.099,5
fadti_dft_attn,ett,time,0.5,0.191,0.111,0.636,0.113,5
fadti_dft_conv,ett,point,0.1,0.111,0.067,0.405,0.068,5
fadti_dft_conv,ett,point,0.5,0.141,0.084,0.496,0.086,5
fadti_dft_conv,ett,time,0.1,0.166,0.097,0.53,0.099,5
fadti_dft_conv,ett,time,0.5,0.19,0.111,0.639,0.113,5
fadti_frsst_attn,ett,point,0.1,0.113,0.069,0.409,0.069,5
fadti_frsst_attn,ett,point,0.5,0.146,0.086,0.502,0.087,5
fadti_frsst_attn,ett,time,0.1,0.176,0.101,0.548,0.102,5
fadti_frsst_attn,ett,time,0.5,0.196,0.114,0.642,0.116,5
fadti_frsst_conv,ett,point,0.1,0.131,0.077,0.455,0.078,5
fadti_frsst_conv,ett,point,0.5,0.168,0.099,0.575,0.1,5
fadti_frsst_conv,ett,time,0.1,0.201,0.116,0.634,0.118,5
fadti_frsst_conv,ett,time,0.5,0.228,0.135,0.777,0.138,5
fadti_stft_attn,ett,point,0.1,0.115,0.069,0.41,0.07,5
fadti_stft_attn,ett,point,0.5,0.144,0.086,0.502,0.087,5
fadti_stft_attn,ett,time,0.1,0.168,0.1,0.542,0.101,5
fadti_stft_attn,ett,time,0.5,0.195,0.113,0.638,0.115,5
fadti_stft_conv,ett,point,0.1,0.112,0.068,0.407,0.069,5
fadti_stft_conv,ett,point,0.5,0.145,0.087,0.509,0.088,5
fadti_stft_conv,ett,time,0.1,0.168,0.098,0.534,0.1,5
fadti_stft_conv,ett,time,0.5,0.192,0.112,0.646,0.115,5
