method,dataset,pattern,ratio,rmse,mae,mape,crps
fadti_stft_attn,ett,point,0.1,0.11637640069153338,0.07179528341273912,0.4561325061588326,0.06955608568693462
fadti_frsst_attn,ett,time,0.1,0.15442284843112847,0.0910323736722428,0.4303690369727581,0.08070737437198036
fadti_stft_attn,ett,time,0.5,0.1731557898410592,0.10378777684141945,0.5332129634072459,0.09328906159651906
fadti_dft_conv,ett,time,0.5,0.16883712807713705,0.09964846077952311,0.5410587583347848,0.09013743777024119
fadti_frsst_conv,ett,point,0.1,0.15277675160845042,0.08162159330334193,0.423626249111048,0.0806773399051867
fadti_dft_conv,ett,point,0.5,0.13564452056776743,0.0811899478065281,0.4221808077229749,0.07349415829307154
fadti_dft_conv,ett,point,0.5,0.1255579915817925,0.07508931699994338,0.4491795236074582,0.08221951911323949
fadti_stft_attn,ett,point,0.1,0.13821374870332362,0.07292945572919605,0.38608670795549305,0.07225453226189864
fadti_dft_conv,ett,time,0.1,0.2025978693910507,0.10936535469278565,0.554702032478176,0.1089395472877904
fadti_dft_attn,ett,point,0.5,0.12347805707540566,0.07458558810908864,0.446995684123226,0.08147885924891422
fadti_frsst_conv,ett,time,0.1,0.16796109808276136,0.09944793656726468,0.606436982389586,0.10862428263614052
fadti_dft_attn,ett,time,0.1,0.13640026579782527,0.0828535694183577,0.5104692174215388,0.09030711023431075
fadti_dft_attn,ett,point,0.1,0.1047949149017673,0.06480214811642833,0.3454920974532747,0.057502489340932744
fadti_dft_attn,ett,time,0.1,0.15266023996743083,0.08963493153285411,0.40078594574286674,0.07910508231112831
fadti_stft_conv,ett,time,0.5,0.16690077902222913,0.09818727078155473,0.5947326774653479,0.10763692855834961
fadti_stft_conv,ett,point,0.5,0.1538954224682525,0.09237615926954082,0.5441124717820454,0.08925326246964305
fadti_frsst_conv,ett,time,0.1,0.18392784350376185,0.1132104082790176,0.7052008861782632,0.12805421728836863
fadti_stft_attn,ett,point,0.1,0.10965353082712145,0.06788917428553227,0.3522010229993034,0.06005384420093737
fadti_frsst_conv,ett,point,0.5,0.1598856748991275,0.0940652625433973,0.4750383682545159,0.08575661558853953
fadti_frsst_attn,ett,point,0.5,0.12778194680281008,0.07636466571774246,0.4528237914292059,0.08315794091475637
fadti_dft_conv,ett,time,0.1,0.17305366183512944,0.10499652668058962,0.5614962994239957,0.10161158913060238
fadti_stft_conv,ett,point,0.1,0.10825299226419088,0.07032117385147141,0.47685051405055245,0.07863721094633404
fadti_dft_attn,ett,point,0.5,0.159136335391763,0.08984200175655628,0.49227765632663295,0.08898426357068513
fadti_frsst_attn,ett,time,0.1,0.18989921981065216,0.10825473818136308,0.5791922419556219,0.10500511997624447
fadti_stft_conv,ett,point,0.1,0.11295114446623156,0.07082880572728859,0.44084018854890966,0.06867913823378713
fadti_stft_conv,ett,time,0.5,0.23473870118433118,0.129447616853535,0.7216646810230999,0.13061601237246864
fadti_stft_attn,ett,time,0.1,0.174554249623674,0.10792627103517659,0.568056729127517,0.1051064415981895
fadti_frsst_attn,ett,time,0.5,0.18316148068003354,0.11222036910186198,0.6972035940427134,0.12603728394759328
fadti_dft_attn,ett,point,0.1,0.11336275307642209,0.070136210583378,0.4418113370534116,0.06803139259940699
fadti_stft_conv,ett,point,0.5,0.1387674177444718,0.08282664631520024,0.4271003006880983,0.07498711661288612
fadti_dft_conv,ett,point,0.1,0.10275940487629885,0.06396092773223032,0.3398119438379547,0.056779334419652036
fadti_frsst_conv,ett,point,0.5,0.2024919233152809,0.1085185040400302,0.5948379378507319,0.10815023121080901
fadti_stft_conv,ett,point,0.1,0.10731479445818545,0.06300804390816434,0.37493638576139465,0.06907877796574642
fadti_frsst_conv,ett,time,0.5,0.19458148697645433,0.11494634079897972,0.7197559720202511,0.12629339569493345
fadti_dft_conv,ett,point,0.5,0.136001909684157,0.08609100637799019,0.5755698628359114,0.0971297213905736
fadti_stft_conv,ett,time,0.5,0.20631867799220616,0.12186520317867335,0.6753903645022813,0.11848897682993036
fadti_dft_attn,ett,time,0.5,0.17976685295985037,0.11062617748641268,0.6957173702260651,0.12423098714728105
fadti_frsst_conv,ett,time,0.5,0.21229685257320327,0.13190268024747892,0.8296167835617466,0.14886819688897385
fadti_stft_attn,ett,point,0.5,0.13612548289379964,0.08664147668561077,0.5806063787446007,0.09752459275095086
fadti_dft_conv,ett,point,0.1,0.12324786528710534,0.07001538656489002,0.3882892840271689,0.06930940402181525
fadti_frsst_attn,ett,point,0.1,0.13008089809983991,0.07171393715051201,0.3948238601479902,0.07034582840768915
fadti_stft_attn,ett,point,0.5,0.1531007233792447,0.09116408051432165,0.5474314343181408,0.08796004245155736
fadti_stft_conv,ett,time,0.1,0.2039697393950202,0.1106128938572971,0.5398044269184551,0.11023201440509997
fadti_frsst_conv,ett,point,0.1,0.12326047995092504,0.07555321141085677,0.3893630405061745,0.06778988085295025
fadti_frsst_attn,ett,time,0.5,0.20979219943130548,0.12290692274048642,0.6807797499657493,0.11907886203966643
fadti_stft_attn,ett,time,0.5,0.16468478504845038,0.09696717361592848,0.5921232283887696,0.10634084751731471
fadti_frsst_attn,ett,time,0.1,0.22131693799783092,0.11673272732981818,0.5525285298096161,0.1164657944127133
fadti_stft_conv,ett,point,0.5,0.13654880303131647,0.08691635211793987,0.5856730604553348,0.09816438900796991
fadti_stft_attn,ett,point,0.5,0.13615763753819526,0.08356866628692984,0.4174474064147573,0.07526472995155736
fadti_frsst_conv,ett,point,0.1,0.12018423251910323,0.07696422427115339,0.5229646180733246,0.08606738793222528
fadti_stft_conv,ett,time,0.5,0.1823811290915477,0.11230834971621387,0.7059350143058996,0.1264943574604235
fadti_stft_conv,ett,point,0.1,0.10469677202955924,0.06515747661085945,0.3404861164763231,0.057994340595446135
fadti_stft_conv,ett,time,0.5,0.16873329027016845,0.10067711741052147,0.5323110196558158,0.09132530814722965
fadti_dft_conv,ett,point,0.5,0.16488716298050057,0.0913348938299462,0.5058976077348053,0.09076218856008429
fadti_dft_conv,ett,time,0.1,0.137887009994141,0.08269269861553853,0.5105088879507287,0.0904456753479807
fadti_frsst_attn,ett,time,0.1,0.1490960023728255,0.08779798610595563,0.555959670306178,0.09512025431582802
fadti_stft_attn,ett,time,0.1,0.15327359022805292,0.09162229881892987,0.4320447952071218,0.08117061539700157
fadti_frsst_attn,ett,time,0.5,0.24474714125846542,0.13148657871693747,0.6945310051290141,0.13269522315577456
fadti_stft_attn,ett,point,0.5,0.16867392752610902,0.09283686251460575,0.5037456829489936,0.09204037565934031
fadti_frsst_conv,ett,time,0.5,0.20329442500194342,0.12110116183549383,0.6382482868480318,0.11037440049020868
fadti_dft_conv,ett,point,0.1,0.11387816680835344,0.07063313962971363,0.4491664513551048,0.06881472311521832
fadti_frsst_conv,ett,time,0.5,0.24737454710185217,0.14959697062199342,0.8408480958155039,0.1462438232020328
fadti_frsst_attn,ett,point,0.1,0.107890645640118,0.06969149278820748,0.48120033180329264,0.07747549132296913
fadti_dft_attn,ett,time,0.5,0.16961179966021603,0.10113630372863722,0.5259874733093269,0.09084171997873407
fadti_dft_attn,ett,time,0.5,0.1650483357486003,0.0961529280643923,0.5910603077622424,0.10530016296788265
fadti_frsst_attn,ett,point,0.1,0.11487316292603997,0.0724629792564998,0.45359602129872123,0.07006987772489849
fadti_dft_attn,ett,time,0.1,0.16106459812984752,0.09927372153462828,0.6139916046210746,0.11196856749685187
fadti_dft_attn,ett,time,0.1,0.16765788867311782,0.10394983402350405,0.5504083212670023,0.10145068168640137
fadti_stft_conv,ett,time,0.1,0.16424091456633502,0.10042786482119821,0.6130770807368678,0.11370321323997096
fadti_dft_attn,ett,time,0.1,0.21436285864214066,0.11265666959086247,0.5518011081910598,0.11162642428749486
fadti_frsst_attn,ett,point,0.5,0.13621424147338285,0.08301504561342471,0.4244205929420509,0.07456355973293907
