dataset,pattern,ratio,method,rmse,mae,mape,crps,count
ett,point,0.1,csdi,0.694,0.252,126626.498,0.034,5
ett,point,0.1,csdi_ori,0.451,0.218,129941.318,0.03,5
ett,point,0.1,fadti,0.308,0.185,108789.589,0.026,5
ett,point,0.1,ftcsdi,0.332,0.191,108572.844,0.027,5
ett,point,0.5,csdi,0.541,0.275,183824.656,0.039,5
ett,point,0.5,csdi_ori,0.74,0.307,195482.257,0.043,5
ett,point,0.5,fadti,0.527,0.26,160991.891,0.037,5
ett,point,0.5,ftcsdi,0.53,0.264,167465.863,0.038,5
ett,time,0.1,csdi,0.722,0.35,195764.851,0.05,5
ett,time,0.1,csdi_ori,0.81,0.363,186603.524,0.052,5
ett,time,0.1,fadti,0.726,0.326,175150.576,0.047,5
ett,time,0.1,ftcsdi,0.66,0.322,181246.29,0.046,5
ett,time,0.5,csdi,0.785,0.389,236174.517,0.056,5
ett,time,0.5,csdi_ori,0.834,0.398,251946.574,0.057,5
ett,time,0.5,fadti,0.859,0.381,217057.722,0.055,5
ett,time,0.5,ftcsdi,0.759,0.372,237135.219,0.054,5
