method,dataset,pattern,ratio,rmse,mae,mape,crps
csdi_ori,ett,point,0.5,1.5038877801677613,0.43681557313150693,21222.53876397337,0.04732134153968409
ftcsdi,ett,time,0.5,0.7409412181568621,0.3635873168448512,185165.5331352833,0.05957932848679392
fadti,ett,point,0.5,0.5863224735312892,0.2816348804447998,179405.57897972988,0.03701716661453247
csdi_ori,ett,point,0.1,0.36758147291141463,0.19554250268861376,75708.16891954697,0.029808367553510164
csdi_ori,ett,point,0.1,0.3173582234084232,0.19320784464193874,113058.23902096272,0.031268693898853506
csdi,ett,time,0.5,0.586316230300234,0.31883687912019837,546620.2794817123,0.05470129063254908
fadti,ett,point,0.1,0.3252775581301191,0.18414401712862363,50810.90426848117,0.02822213423879523
fadti,ett,time,0.1,0.48584815184132657,0.26122495511702554,286540.7617049346,0.04481255067022223
csdi_ori,ett,time,0.5,0.8710244468932067,0.3983958171634063,22574.63465585442,0.041038497498160915
csdi,ett,point,0.5,0.5080261770025868,0.27803980431306075,24468.941284077195,0.02815173174205579
csdi,ett,time,0.5,0.7607993325128453,0.3723341081761021,179593.01547010173,0.06079209478277909
ftcsdi,ett,point,0.5,0.5909569233140565,0.2876669200206045,20620.84885589855,0.029230246418400815
csdi,ett,time,0.5,0.6037337795445462,0.3513483688707859,25468.080446526357,0.03560517649901541
csdi_ori,ett,time,0.1,1.0544596080492972,0.4041462398388855,10447.54409091946,0.04110667266343769
ftcsdi,ett,time,0.5,0.5870285622594785,0.30980517822385756,541328.921108742,0.05300214416102359
csdi_ori,ett,time,0.5,0.5818475322960058,0.31778045323944215,592855.5822535673,0.05464482934851395
fadti,ett,time,0.5,0.5750763993572934,0.3009433324012049,437144.98228637036,0.05156757957056949
csdi_ori,ett,time,0.5,1.0223532994766844,0.46278052372616263,140212.05536106435,0.07169662023845472
ftcsdi,ett,point,0.1,0.3233517869301061,0.18331572530292253,55374.42962146578,0.02789664582202309
csdi_ori,ett,point,0.1,0.2793170877158904,0.17977635778869866,300592.93218602746,0.03037558731279875
fadti,ett,time,0.1,0.6561988091588108,0.3149328376140811,104843.54141719261,0.051772468968441614
csdi,ett,time,0.1,0.801627594892973,0.39401720327178014,377439.3153962645,0.052208508315839265
ftcsdi,ett,time,0.5,0.8913520341443621,0.41516160333689284,302212.77901340177,0.05491168875443308
csdi_ori,ett,point,0.5,0.6476988495683873,0.31184191464454253,194677.49941587588,0.040936215927726345
fadti,ett,point,0.5,0.5767423686719424,0.2708247527487807,19032.756916665105,0.02756290686757941
fadti,ett,point,0.5,0.5829412589168721,0.271576641325444,122659.31415218773,0.04158593478955721
ftcsdi,ett,point,0.1,0.263162790029482,0.17162652094816971,263485.2358123335,0.02892369031906128
csdi_ori,ett,time,0.5,0.764918987393982,0.3737128377611313,198862.32494491077,0.06100751851734362
csdi,ett,time,0.1,0.9496036027640734,0.4015402665197371,76974.49878231471,0.06153096023358797
ftcsdi,ett,point,0.5,0.5924517267014536,0.28433708342126685,176360.42102027012,0.03730373633535285
ftcsdi,ett,time,0.1,0.9195015936328181,0.38408282439858016,77362.15707827966,0.05913772708491275
ftcsdi,ett,point,0.1,0.4074169451577757,0.21152900338616437,6599.951369997291,0.021161295865711412
fadti,ett,point,0.1,0.3020409251176408,0.1858531587188507,103106.33067328333,0.030175921164060895
fadti,ett,point,0.1,0.29186746866314295,0.18316029694120764,5812.800258052995,0.018278366640994425
fadti,ett,point,0.5,0.3959775155089799,0.22302785492441363,321111.7832898172,0.03792749266875418
ftcsdi,ett,point,0.5,0.49242613045719225,0.2534579460833905,165898.04013292308,0.04128428195652209
ftcsdi,ett,point,0.5,0.5811435492652386,0.27365898723286347,121756.90807727279,0.041798955515811316
csdi,ett,point,0.1,0.2780934564854032,0.18122512408637337,303104.67813972547,0.030559615084999485
