dataset,pattern,ratio,method,rmse,mae,mape,crps
ett,point,0.1,csdi,0.6943158693710384,0.25176286335722375,126626.49803416946,0.03402786945041857
ett,point,0.1,csdi_ori,0.45073760396086354,0.21826049538133666,129941.3178957314,0.030079234273810134
ett,point,0.1,fadti,0.3079370192833789,0.1847760300711666,108789.58928667863,0.026307133310719537
ett,point,0.1,ftcsdi,0.3322929965133917,0.19077349437112545,108572.84405694083,0.0268131789408232
ett,point,0.5,csdi,0.5414921556683081,0.27480956320620475,183824.65561042275,0.03910884857177734
ett,point,0.5,csdi_ori,0.7400623075378746,0.30736630129010456,195482.25740217365,0.04306484335347226
ett,point,0.5,fadti,0.5270238039951526,0.2600603857576436,160991.8905322646,0.03708112051612453
ett,point,0.5,ftcsdi,0.5298847169748285,0.2643645795525034,167465.86333006664,0.03751331693247745
ett,time,0.1,csdi,0.7224257305694164,0.3497754080823205,195764.8511116983,0.049969668764817086
ett,time,0.1,csdi_ori,0.8102478267052329,0.3629471219097116,186603.5244312458,0.051574301719665525
ett,time,0.1,fadti,0.7259014636343933,0.3261573424399673,175150.57618626274,0.04699506885127017
ett,time,0.1,ftcsdi,0.6603626004906887,0.3223843789985976,181246.2898962875,0.04649837707218371
ett,time,0.5,csdi,0.7845910497199471,0.38892324734662653,236174.51656305286,0.05621730214671085
ett,time,0.5,csdi_ori,0.8342950363193999,0.39816265470392215,251946.5736367329,0.057281736951125296
ett,time,0.5,fadti,0.859164395388395,0.3810036441787804,217057.72162228567,0.054742645589928876
ett,time,0.5,ftcsdi,0.7587980884808566,0.3721479465775187,237135.2189163777,0.05381552796614797
